"strain_name"	"YPSORBITOL"	"type"
"AAI"	0.71743421	"sorbitol_high"
"ABM"	0.682807577	"sorbitol_high"
"ACQ"	1.412181354	"sorbitol_high"
"ADD"	0.704867788	"sorbitol_high"
"ADF"	0.691767372	"sorbitol_high"
"AFQ"	0.725286607	"sorbitol_high"
"AKH"	0.703760318	"sorbitol_high"
"AKT"	0.716666244	"sorbitol_high"
"ALA"	0.692402508	"sorbitol_high"
"ALI"	0.858196262	"sorbitol_high"
"ALN"	1.09579874	"sorbitol_high"
"ALP"	1.037305442	"sorbitol_high"
"ALQ"	0.836065649	"sorbitol_high"
"ALV"	0.73542689	"sorbitol_high"
"ANG"	0.715438859	"sorbitol_high"
"APQ"	0.715390448	"sorbitol_high"
"AQD"	0.774112908	"sorbitol_high"
"AQN"	0.825574481	"sorbitol_high"
"ARH"	0.765454933	"sorbitol_high"
"ARV"	0.788694519	"sorbitol_high"
"ATC"	0.84756668	"sorbitol_high"
"AVI"	0.684720791	"sorbitol_high"
"AVQ"	1.00875055	"sorbitol_high"
"AVR"	0.976914093	"sorbitol_high"
"BAG"	0.702319189	"sorbitol_high"
"BBF"	0.787954072	"sorbitol_high"
"BBG"	0.682165148	"sorbitol_high"
"BCM"	0.718689121	"sorbitol_high"
"BDR"	0.946695463	"sorbitol_high"
"BET"	0.729807638	"sorbitol_high"
"BEV"	0.80338635	"sorbitol_high"
"BFA"	0.828251267	"sorbitol_high"
"BFB"	0.684122012	"sorbitol_high"
"BGP"	0.879415211	"sorbitol_high"
"BMQ"	0.753487565	"sorbitol_high"
"BPA"	0.77880738	"sorbitol_high"
"CBK"	0.890751433	"sorbitol_high"
"CCQ"	0.687460864	"sorbitol_high"
"CLQ"	0.740165089	"sorbitol_high"
"CNK"	0.785128914	"sorbitol_high"
"CQG"	0.717186025	"sorbitol_high"
"CQH"	0.816409413	"sorbitol_high"
"CQP"	0.829634348	"sorbitol_high"
"CRE"	0.853566618	"sorbitol_high"
"SACE_GAL"	1.454636873	"sorbitol_high"
"SACE_GAP"	0.696773089	"sorbitol_high"
"SACE_GAT"	0.683269109	"sorbitol_high"
"SACE_GAV"	0.848034985	"sorbitol_high"
"SACE_MAL"	0.816649689	"sorbitol_high"
"SACE_YDO"	0.793132847	"sorbitol_high"
