strain_name	type	growth
BSB	g2	0.480930828
BSD	g2	0.487347058
BSP	g2	0.422898051
BST	g2	0.451708134
BTH	g2	0.438006877
BTI	g2	0.526845924
BTL	g2	0.456900053
BTP	g2	0.448081399
BTR	g2	0.522937501
BVB	g2	0.498636937
BVC	g2	0.43113442
CAE	g2	0.472013293
CBA	g2	0.475058322
CCN	g2	0.435382678
CCQ	g2	0.48053603
CCR	g2	0.492570134
CCT	g2	0.516014074
CDC	g2	0.518593983
CDF	g2	0.490947958
CDG	g2	0.528702128
CDH	g2	0.447113651
CDI	g2	0.482298075
CEA	g2	0.412581798
CEB	g2	0.416960567
CEH	g2	0.417405171
CEK	g2	0.535530732
CEM	g2	0.53597212
CEP	g2	0.422657796
CFE	g2	0.533576034
CFN	g2	0.418727706
CFR	g2	0.501697103
CGB	g2	0.477956982
CGH	g2	0.530390075
CGS	g2	0.528018421
CGV	g2	0.534533972
CHC	g2	0.497364558
CHD	g2	0.461891816
CHI	g2	0.449354532
CHK	g2	0.407789172
CHP	g2	0.472539923
CIA	g2	0.440925255
CIB	g2	0.413725662
CIC	g2	0.498126498
CID	g2	0.427592149
CIE	g2	0.47677409
CIF	g2	0.498581784
CIG	g2	0.512563022
CII	g2	0.467697693
CIK	g2	0.427328996
CIQ	g2	0.45999893
CIV	g2	0.407894281
CKF	g2	0.430072398
CKS	g2	0.48279892
CLB	g2	0.481399079
CLC	g2	0.48263699
CLD	g2	0.499794541
CMK	g2	0.442249195
CNG	g2	0.439942528
CNH	g2	0.496956863
CNK	g2	0.417319799
CNM	g2	0.442301457
CNV	g2	0.525195937
CPA	g2	0.515884858
CPD	g2	0.470248718
CPM	g2	0.470518318
CPN	g2	0.420669387
CPQ	g2	0.519770575
CPR	g2	0.407743591
CQA	g2	0.514699632
CQB	g2	0.520094818
CQT	g2	0.473139732
CRA	g2	0.419060215
CRB	g2	0.462582234
SACE_MAA	g2	0.47439279
SACE_YAE	g2	0.441365718
SACE_YAP	g2	0.408252715
SACE_YAR	g2	0.406812791
SACE_YAU	g2	0.405678857
SACE_YAV	g2	0.430084454
SACE_YAY	g2	0.470399909
SACE_YBS	g2	0.512942997
SACE_YBT	g2	0.465409866
SACE_YBV	g2	0.522913379
SACE_YBZ	g2	0.412971195
SACE_YCE	g2	0.463296365
SACE_YCK	g2	0.408099704
SACE_YCN	g2	0.430016019
SACE_YCO	g2	0.529210374
SACE_YCR	g2	0.480920734
AAD	g3	0.278862289
AAH	g3	0.343455541
AAL	g3	0.393962599
AAM	g3	0.370961499
AAV	g3	0.338693276
ABI	g3	0.382429092
ABS	g3	0.306395028
ABV	g3	0.304958768
ACL	g3	0.395979638
ACP	g3	0.355290597
ACS	g3	0.274324124
ACT	g3	0.37144518
ACV	g3	0.379831984
ADF	g3	0.275945298
ADL	g3	0.2983913
AEC	g3	0.322766797
AEE	g3	0.276865915
AFK	g3	0.356652393
AFL	g3	0.390405548
AFN	g3	0.330318825
AFV	g3	0.334330613
AGA	g3	0.322163992
AGB	g3	0.321837867
AGG	g3	0.347744393
AGH	g3	0.301535823
AGI	g3	0.331046102
AGS	g3	0.347154343
AGT	g3	0.306513937
AGV	g3	0.402620225
AHB	g3	0.397728704
AHE	g3	0.274312474
AHL	g3	0.362496338
AID	g3	0.397280852
AIE	g3	0.291046314
AIF	g3	0.275913331
AII	g3	0.343784718
AIR	g3	0.311765093
AKB	g3	0.352488659
AKC	g3	0.340111594
AKD	g3	0.356421946
AKI	g3	0.383745006
AKT	g3	0.399869548
ALR	g3	0.335820394
ALT	g3	0.295767983
AMA	g3	0.382580845
AMB	g3	0.302083542
AMD	g3	0.398591638
AMH	g3	0.295263182
AMN	g3	0.345889695
AMQ	g3	0.347561277
AMT	g3	0.380903548
APA	g3	0.356019955
APC	g3	0.325656287
APD	g3	0.309809164
APF	g3	0.368548046
APN	g3	0.374964468
APT	g3	0.381814748
APV	g3	0.356149123
AQD	g3	0.391106085
AQG	g3	0.341010011
AQM	g3	0.269849503
AQN	g3	0.380825027
AQQ	g3	0.338479287
AQR	g3	0.339521066
ARP	g3	0.40286779
ARQ	g3	0.2866406
ASG	g3	0.349772514
ASN	g3	0.318293042
ASR	g3	0.301705721
ATE	g3	0.281175913
ATH	g3	0.351593549
ATN	g3	0.335276603
ATQ	g3	0.29767519
ATV	g3	0.286713939
AVV	g3	0.33764694
BAA	g3	0.274561162
BAB	g3	0.295305905
BAC	g3	0.306434006
BAD	g3	0.338892088
BAE	g3	0.315790957
BAF	g3	0.386177638
BAI	g3	0.325333883
BAN	g3	0.36297387
BAP	g3	0.334138432
BAR	g3	0.282413918
BAV	g3	0.332599194
BBA	g3	0.306567
BBB	g3	0.304885865
BBC	g3	0.360082295
BBH	g3	0.272725625
BBI	g3	0.339859712
BBK	g3	0.277727005
BBM	g3	0.375873624
BBP	g3	0.38738214
BBV	g3	0.35834468
BCA	g3	0.309845617
BCF	g3	0.337246503
BCH	g3	0.353959715
BCI	g3	0.350470302
BCL	g3	0.363285066
BCM	g3	0.30650522
BCT	g3	0.313247578
BDE	g3	0.278741217
BDH	g3	0.383325994
BDI	g3	0.336952007
BDK	g3	0.320091294
BDT	g3	0.396400653
BDV	g3	0.390117898
BEB	g3	0.342817245
BED	g3	0.3891879
BEE	g3	0.332331515
BEK	g3	0.359244961
BEP	g3	0.399632013
BEQ	g3	0.352604895
BER	g3	0.380615297
BFK	g3	0.375109076
BFM	g3	0.38180885
BFN	g3	0.374101611
BFQ	g3	0.324365531
BFR	g3	0.322534849
BGE	g3	0.387515958
BGR	g3	0.30556443
BGT	g3	0.300004522
BHC	g3	0.290839399
BHE	g3	0.385401387
BHF	g3	0.323320025
BHG	g3	0.281092248
BHI	g3	0.346989234
BHM	g3	0.402949254
BHT	g3	0.30071333
BIB	g3	0.330502936
BIF	g3	0.331555967
BIP	g3	0.355931897
BIQ	g3	0.349810308
BIS	g3	0.398905496
BIT	g3	0.286794638
BKE	g3	0.317742307
BKI	g3	0.343956399
BKK	g3	0.348404505
BKL	g3	0.354410619
BKM	g3	0.383832212
BLA	g3	0.401192797
BLB	g3	0.336569262
BLC	g3	0.403005455
BLD	g3	0.367722346
BLE	g3	0.372217191
BLM	g3	0.321677226
BLQ	g3	0.309878263
BLR	g3	0.36883634
BLS	g3	0.287817756
BLT	g3	0.327269954
BME	g3	0.357407879
BMG	g3	0.334308384
BMI	g3	0.328199807
BML	g3	0.398063341
BMM	g3	0.334222244
BMN	g3	0.35132811
BMR	g3	0.329149532
BNB	g3	0.373692122
BNE	g3	0.339742992
BNI	g3	0.334325219
BNM	g3	0.36434573
BNR	g3	0.326279282
BPG	g3	0.316476419
BPH	g3	0.340006067
BPV	g3	0.342074567
BQA	g3	0.358304528
BQG	g3	0.397910881
BQP	g3	0.395514774
BQT	g3	0.329720986
BRA	g3	0.318647211
BRB	g3	0.316683454
BRE	g3	0.283471009
BRF	g3	0.378845578
BRL	g3	0.348942228
BRP	g3	0.327632134
BSE	g3	0.343813189
BSL	g3	0.337143436
BSM	g3	0.371234478
BSN	g3	0.319415267
BSR	g3	0.386394683
BSS	g3	0.378856252
BTE	g3	0.327379091
BTF	g3	0.322495184
BTG	g3	0.310081368
BTN	g3	0.357477964
BTS	g3	0.343120235
BVA	g3	0.390106712
BVH	g3	0.350203724
BVK	g3	0.316461676
BVM	g3	0.360287092
CAF	g3	0.324985676
CAH	g3	0.387593138
CBF	g3	0.348815891
CBH	g3	0.29317293
CBI	g3	0.321075173
CBK	g3	0.299396666
CCL	g3	0.314953745
CDB	g3	0.390428328
CDD	g3	0.355576011
CDE	g3	0.362499231
CDK	g3	0.289207564
CDN	g3	0.30630298
CDQ	g3	0.319634592
CDS	g3	0.353119124
CEC	g3	0.278484459
CEF	g3	0.305451401
CFC	g3	0.316304527
CFI	g3	0.334594528
CFP	g3	0.33969788
CFQ	g3	0.403773853
CGD	g3	0.269959035
CGE	g3	0.269369449
CGT	g3	0.386768503
CHA	g3	0.306319305
CHB	g3	0.374477508
CHG	g3	0.283686785
CHH	g3	0.361269962
CHL	g3	0.336481194
CHR	g3	0.289022146
CIM	g3	0.334953536
CIN	g3	0.375091144
CIR	g3	0.390925811
CIS	g3	0.363450025
CIT	g3	0.377818292
CKB	g3	0.332900363
CKC	g3	0.340972943
CKD	g3	0.33860218
CKE	g3	0.347130659
CKG	g3	0.385720644
CKH	g3	0.356824925
CKI	g3	0.385269761
CKK	g3	0.297736756
CKL	g3	0.342044194
CKM	g3	0.343807064
CKP	g3	0.367271888
CKQ	g3	0.382531364
CKT	g3	0.355860712
CKV	g3	0.285843746
CLM	g3	0.39383145
CLN	g3	0.310272662
CLQ	g3	0.281262641
CMD	g3	0.332104688
CME	g3	0.299416034
CMG	g3	0.377340876
CMI	g3	0.396967147
CMM	g3	0.322566515
CMN	g3	0.337680529
CMT	g3	0.286763756
CNI	g3	0.370218773
CNR	g3	0.351516236
CPK	g3	0.349693559
CPL	g3	0.386306102
CPS	g3	0.360530658
CQQ	g3	0.289032395
CQS	g3	0.323349984
CQV	g3	0.326739517
CRE	g3	0.335456392
CRK	g3	0.361905201
CRL	g3	0.366383445
SACE_YAA	g3	0.396994918
SACE_YAB	g3	0.36610808
SACE_YAC	g3	0.402693062
SACE_YAD	g3	0.331730914
SACE_YAM	g3	0.383992992
SACE_YAQ	g3	0.370842705
SACE_YAW	g3	0.351469287
SACE_YAX	g3	0.36994481
SACE_YBE	g3	0.331931189
SACE_YBF	g3	0.312115974
SACE_YBG	g3	0.362519527
SACE_YBH	g3	0.331699714
SACE_YBJ	g3	0.396581729
SACE_YBK	g3	0.396101144
SACE_YBL	g3	0.335461943
SACE_YBQ	g3	0.297271847
SACE_YBR	g3	0.402508224
SACE_YBW	g3	0.354228129
SACE_YBX	g3	0.279699577
SACE_YBY	g3	0.370236772
SACE_YCB	g3	0.310625458
SACE_YCH	g3	0.30799234
SACE_YCL	g3	0.392721836
SACE_YCM	g3	0.320827325
SACE_YCP	g3	0.271808329
SACE_YCQ	g3	0.375752973
SACE_YDM	g3	0.383872706
AAB	g4	0.256125679
AAC	g4	0.140342099
AAG	g4	0.262564496
AAI	g4	0.190348024
AAK	g4	0.151913882
AAP	g4	0.090057724
AAR	g4	0.100709647
ABD	g4	0.257231813
ABP	g4	0.234037904
ABT	g4	0.214648021
ACA	g4	0.256236757
ACB	g4	0.250851958
ACF	g4	0.231616021
ACG	g4	0.266562365
ACH	g4	0.267317106
ACI	g4	0.187858314
ACR	g4	0.184639902
ADD	g4	0.263935315
ADI	g4	0.044817371
ADQ	g4	0.212010842
ADV	g4	0.199953691
AEA	g4	0.05941039
AEB	g4	0.241094923
AEF	g4	0.2284339
AEI	g4	0.143269936
AEK	g4	0
AEL	g4	0.205841953
AEM	g4	0
AEP	g4	0.137329657
AEQ	g4	0.105559586
AES	g4	0
AET	g4	0.138016081
AFA	g4	0.232314354
AFB	g4	0.215708371
AFF	g4	0.266513875
AFI	g4	0.025835539
AFM	g4	0.191254292
AFP	g4	0.266525101
AFS	g4	0
AFT	g4	0.172011537
AGC	g4	0.208585737
AGE	g4	0.228802858
AGL	g4	0.074708098
AGN	g4	0.256685497
AGP	g4	0.195198073
AHD	g4	0.236633512
AHF	g4	0.073196769
AHG	g4	0.16965301
AHK	g4	0.099600413
AHM	g4	0.055417587
AHN	g4	0.112901874
AHP	g4	0.113982141
AHQ	g4	0.212137914
AHS	g4	0.141543276
AHT	g4	0.123646253
AHV	g4	0.214691402
AIA	g4	0.12196499
AIB	g4	0.128816021
AIC	g4	0.06697692
AIG	g4	0.020278443
AIP	g4	0.218496771
AIT	g4	0
AKM	g4	0.203852304
ALD	g4	0.050016383
ALQ	g4	0.210818965
AMP	g4	0.098860326
AMR	g4	0.2010327
ANR	g4	0.155171836
ANS	g4	0.160315388
ANT	g4	0.142936462
APE	g4	0.251217136
APP	g4	0.132379629
APQ	g4	0.179874158
APR	g4	0.185840742
APS	g4	0.192004103
AQA	g4	0.254225536
AQB	g4	0.252792616
AQC	g4	0.138576503
AQE	g4	0.166824975
AQP	g4	0.246077365
AQT	g4	0.199114971
ARA	g4	0.196259526
ARB	g4	0.125547619
ARC	g4	0.244355988
ARN	g4	0.126531055
ARR	g4	0.064874358
ARS	g4	0.052909824
ART	g4	0.108000261
ASA	g4	0.112877016
ASE	g4	0.161725956
ASH	g4	0.129072852
ATP	g4	0.267840082
AVB	g4	0.050647589
AVC	g4	0.238517313
AVD	g4	0.201397761
AVH	g4	0.087750832
AVL	g4	0.215192398
AVM	g4	0.184138915
BAG	g4	0.244295942
BAH	g4	0.25967323
BAL	g4	0.149693169
BAM	g4	0.252770811
BAQ	g4	0.245462494
BAS	g4	0.255524072
BAT	g4	0.254576734
BBD	g4	0.068997934
BBE	g4	0.152028745
BBL	g4	0.265991993
BBT	g4	0.199832538
BCB	g4	0.237369059
BCE	g4	0.241480519
BCG	g4	0.201181661
BCQ	g4	0.074764301
BCR	g4	0.170247499
BDB	g4	0.205999954
BDC	g4	0.197572161
BDF	g4	0.266916848
BDG	g4	0.249310351
BFS	g4	0.180980935
BFT	g4	0.141556736
BFV	g4	0.212748068
BGA	g4	0.195929073
BGB	g4	0.224670953
BGC	g4	0.203715791
BGD	g4	0.147368145
BGG	g4	0.190277929
BGH	g4	0.224874966
BGI	g4	0.087313315
BGK	g4	0.25110656
BGL	g4	0.060963728
BGM	g4	0.252275418
BGN	g4	0.16218927
BGP	g4	0.228367246
BGQ	g4	0.249122803
BGV	g4	0.192969108
BHB	g4	0.170890365
BHD	g4	0.201282594
BHN	g4	0.264515916
BHV	g4	0.178343182
BIC	g4	0.25871006
BIG	g4	0.258240732
BIH	g4	0.175835796
BIL	g4	0.248956867
BKC	g4	0.253740181
BKH	g4	0.204178708
BKP	g4	0.230090428
BKQ	g4	0.231445778
BKR	g4	0.240109331
BLH	g4	0.217617616
BLK	g4	0.25346086
BLV	g4	0.228022214
BMA	g4	0.206317681
BMC	g4	0.191510747
BMQ	g4	0.232880799
BND	g4	0.223593867
BNF	g4	0.245591216
BNG	g4	0.122534949
BNN	g4	0.216739175
BNQ	g4	0.206165131
BNT	g4	0.224392928
BPB	g4	0.128482866
BPL	g4	0.195885691
BPR	g4	0.112071596
BQI	g4	0.208262729
BRC	g4	0.253377146
BRH	g4	0.202002335
BRM	g4	0.104777892
BRQ	g4	0.026246405
BSG	g4	0.231700964
BTB	g4	0.053663728
BTC	g4	0.005368525
BTD	g4	0.206944905
BVT	g4	0.107042051
BVV	g4	0.074908114
CAA	g4	0.121129398
CAB	g4	0.195733204
CAC	g4	0.075763221
CAD	g4	0.069611166
CAL	g4	0.208598182
CAN	g4	0.153529074
CAP	g4	0.186815102
CAQ	g4	0.236878129
CAR	g4	0.188633799
CAS	g4	0.196689942
CAT	g4	0.159412814
CAV	g4	0.149857121
CBB	g4	0.149564823
CBC	g4	0.178660128
CBD	g4	0.161840574
CBE	g4	0.096880421
CBN	g4	0.07207094
CBR	g4	0.172416709
CCM	g4	0.223445827
CCV	g4	0.260652336
CDM	g4	0.236110315
CDR	g4	0.063639302
CDT	g4	0.20434302
CDV	g4	0.246062755
CED	g4	0.185791667
CEE	g4	0.216657081
CEG	g4	0.235645535
CEI	g4	0.193940999
CEN	g4	0.231194398
CEQ	g4	0.168753986
CER	g4	0.197085615
CES	g4	0.162973115
CET	g4	0.197581162
CEV	g4	0.145669293
CFA	g4	0.23716733
CFB	g4	0.144661952
CFD	g4	0.072024558
CFG	g4	0.132606304
CFM	g4	0.123629616
CFS	g4	0.185515929
CFT	g4	0.141275165
CFV	g4	0.123160855
CGC	g4	0.138051936
CHE	g4	0.260036137
CHV	g4	0.098594726
CIP	g4	0.255414924
CLI	g4	0.185914295
CLK	g4	0.237849768
CLL	g4	0.25833256
CLP	g4	0.224753788
CLR	g4	0.230703572
CLS	g4	0.149915227
CLT	g4	0.266020626
CLV	g4	0.21155795
CMB	g4	0.239126219
CMC	g4	0.23222782
CMF	g4	0.164948
CML	g4	0.124692347
CNP	g4	0.22802448
CPB	g4	0.23337078
CPF	g4	0.208883634
CQR	g4	0.262901664
CRC	g4	0.21289203
CRI	g4	0.163569473
SACE_GAL	g4	0.239226921
SACE_MAL	g4	0.050144008
SACE_YAF	g4	0.138466368
SACE_YAG	g4	0.173052887
SACE_YAZ	g4	0.243123785
SACE_YBU	g4	0.246774227
SACE_YCA	g4	0.21422193
SACE_YCC	g4	0.082893308
SACE_YCD	g4	0.216108593
SACE_YCF	g4	0.10965341
SACE_YCG	g4	0.26340352
SACE_YCI	g4	0.239496727
SACE_YDN	g4	0.236743909
SACE_YDO	g4	0.137088577
