strain_name	type	growth
AAA	g1	1.05040199
AAN	g1	0.661085074
AAT	g1	0.599864311
ABL	g1	0.853814764
ABM	g1	0.570429259
ACC	g1	0.621711055
ACD	g1	0.574138134
ACK	g1	0.645075426
ACN	g1	0.723791434
ACQ	g1	0.78610238
ADE	g1	0.558051774
ADG	g1	0.776875553
ADH	g1	0.711788095
AEG	g1	0.673262927
AFC	g1	0.559638363
AFD	g1	0.929569984
AFH	g1	0.722279994
AFQ	g1	0.587162845
AGM	g1	0.667385242
AHH	g1	0.627826239
AKL	g1	0.778429638
AKN	g1	0.765256358
AKP	g1	0.583124077
AKQ	g1	0.653561173
AKR	g1	0.79806297
AKS	g1	0.693251158
AKV	g1	0.647168863
ALA	g1	0.747500424
ALB	g1	0.817942325
ALC	g1	0.81334967
ALE	g1	0.618514149
ALG	g1	0.693084898
ALH	g1	0.797337609
ALK	g1	0.958174133
ALM	g1	0.584684773
ALN	g1	0.746209539
ALP	g1	0.639667762
AMC	g1	0.839632272
AMF	g1	0.898312234
AMM	g1	0.788869747
ANA	g1	0.768990471
ANC	g1	0.749231698
AND	g1	0.8472066
ANE	g1	0.86521614
ANF	g1	0.950073442
ANG	g1	0.738654188
ANH	g1	0.767310233
ANI	g1	0.802970016
ANK	g1	0.865732949
ANL	g1	0.620148872
ANM	g1	0.806625123
ANN	g1	0.770401357
ANQ	g1	0.85311177
ANV	g1	0.71722338
APH	g1	0.61076248
API	g1	0.541894153
APL	g1	0.838747111
APM	g1	0.607645695
AQH	g1	0.574232169
ARG	g1	0.85776457
ARL	g1	0.543841493
ARM	g1	0.567679953
ARV	g1	0.653888196
ASB	g1	0.578740119
ASD	g1	1.025
AST	g1	0.598891093
ASV	g1	0.60473026
ATB	g1	0.620770588
ATR	g1	0.547962274
ATS	g1	0.713463129
AVI	g1	0.547960211
AVN	g1	0.799587152
AVP	g1	0.583301959
AVQ	g1	0.628595877
AVS	g1	0.655210819
AVT	g1	0.596142377
BAK	g1	0.545258465
BBG	g1	0.724398426
BBR	g1	0.688767051
BDM	g1	0.601115671
BDS	g1	0.610952009
BEF	g1	0.70408499
BEG	g1	0.742626166
BEV	g1	0.55113831
BFA	g1	0.925420883
BFD	g1	0.549454023
BFL	g1	0.695403257
BHP	g1	0.609884105
BHR	g1	0.556837194
BHS	g1	0.705915854
BIE	g1	0.572045714
BIM	g1	0.540407578
BLP	g1	0.601212332
BMB	g1	0.617513517
BMD	g1	0.567071472
BMF	g1	0.803908576
BMH	g1	0.571586726
BMK	g1	0.655083672
BMV	g1	0.560375854
BNC	g1	0.543637226
BNV	g1	0.666089904
BPA	g1	0.561438967
BPC	g1	1.00794636
BPN	g1	0.658477804
BQM	g1	0.548151078
BQN	g1	1.303075947
BQR	g1	0.588769708
BRV	g1	0.685738224
BSC	g1	1.314137229
BSI	g1	1.01236278
BSK	g1	0.816666726
BTA	g1	0.670970313
BTT	g1	0.826051827
BTV	g1	0.554326882
BVD	g1	0.555147127
BVE	g1	0.549457375
BVF	g1	0.625756496
BVG	g1	0.736855147
CAI	g1	0.661424752
CAK	g1	0.561388246
CAM	g1	0.68622229
CBG	g1	0.645984873
CBL	g1	0.622376944
CBM	g1	0.62746492
CCC	g1	0.702687931
CCD	g1	0.741608725
CCE	g1	0.644557423
CCF	g1	0.635938971
CCG	g1	0.654298311
CCH	g1	0.673052962
CCI	g1	0.768403982
CCP	g1	0.737951995
CCS	g1	0.558697982
CDA	g1	0.620616897
CDL	g1	0.569132895
CDP	g1	0.643936825
CEL	g1	0.562878252
CFF	g1	0.624282481
CGG	g1	0.862099766
CGI	g1	0.708065916
CGK	g1	0.726859242
CGL	g1	0.83652121
CGN	g1	0.582379803
CGP	g1	0.754657238
CGQ	g1	0.842790403
CGR	g1	0.604950347
CHF	g1	0.577751686
CHM	g1	0.973810947
CHN	g1	0.578938953
CHQ	g1	0.710000661
CHS	g1	0.550939719
CHT	g1	0.7050523
CIH	g1	0.543922721
CIL	g1	0.638767347
CKA	g1	0.631608233
CKN	g1	0.592879494
CKR	g1	0.602851683
CLA	g1	0.808419872
CLG	g1	0.747437441
CLH	g1	0.790426107
CMH	g1	0.575233338
CMP	g1	0.658877019
CMQ	g1	0.679311372
CMS	g1	0.725205421
CNB	g1	0.60726443
CNC	g1	0.609628805
CNE	g1	0.680930475
CNF	g1	0.637451732
CNL	g1	0.624422818
CNN	g1	0.58962137
CNQ	g1	0.576799713
CNS	g1	0.634464522
CNT	g1	0.614380019
CPC	g1	0.698912805
CPE	g1	0.55315876
CPG	g1	1.555180398
CPI	g1	0.553519138
CPT	g1	0.590527709
CQC	g1	0.69973452
CQD	g1	0.693064745
CQE	g1	0.774620882
CQF	g1	0.776117507
CQG	g1	0.970760066
CQH	g1	0.98160224
CQI	g1	0.709317621
CQK	g1	0.680884289
CQL	g1	0.743058817
CQM	g1	0.713999267
CQN	g1	0.619304562
CQP	g1	1.072284164
CRD	g1	0.572970291
CRG	g1	1.290974632
CRH	g1	0.551008184
SACE_GAP	g1	0.873363979
SACE_GAS	g1	0.945129341
SACE_GAT	g1	0.904770589
SACE_GAV	g1	0.565106948
SACE_MAB	g1	0.79131075
SACE_YAK	g1	0.581136537
SACE_YAN	g1	0.602878354
SACE_YAT	g1	0.545165699
AAE	g2	0.522838916
AAQ	g2	0.434999587
AAS	g2	0.514165042
ABA	g2	0.427770102
ABB	g2	0.474408702
ABE	g2	0.482175756
ABG	g2	0.53379492
ABH	g2	0.418041845
ABK	g2	0.412102211
ABQ	g2	0.433522879
ABR	g2	0.50914011
ACM	g2	0.408078555
ADA	g2	0.454105926
ADB	g2	0.507921143
ADC	g2	0.514938853
ADK	g2	0.459470249
ADM	g2	0.419764678
ADN	g2	0.513389633
ADP	g2	0.489748201
ADR	g2	0.473269831
ADS	g2	0.405868478
ADT	g2	0.490658183
AEH	g2	0.444457315
AEN	g2	0.448271342
AER	g2	0.409459848
AEV	g2	0.447544775
AFE	g2	0.504841137
AFG	g2	0.410867681
AFR	g2	0.469959263
AGF	g2	0.407319585
AGK	g2	0.481825091
AGR	g2	0.517085517
AHA	g2	0.481845578
AHC	g2	0.502553958
AHI	g2	0.481608049
AHR	g2	0.420980763
AIK	g2	0.434456478
AIL	g2	0.519031967
AIM	g2	0.537253496
AIN	g2	0.483252177
AIQ	g2	0.501304099
AKE	g2	0.436877298
AKG	g2	0.435705836
AKH	g2	0.441447677
ALI	g2	0.438768164
ALL	g2	0.489889772
ALS	g2	0.481764924
ALV	g2	0.416156645
AMG	g2	0.454039532
AMI	g2	0.408418323
AMK	g2	0.438841797
AML	g2	0.512517018
AMS	g2	0.434798142
ANP	g2	0.450688904
APG	g2	0.433019112
APK	g2	0.496616709
AQI	g2	0.504913641
AQS	g2	0.447164136
ARE	g2	0.485587604
ARH	g2	0.421549565
ARI	g2	0.4656361
ARK	g2	0.493987571
ASC	g2	0.418334877
ASL	g2	0.53347169
ASM	g2	0.531262165
ASS	g2	0.448491994
ATA	g2	0.506141037
ATC	g2	0.455972134
ATD	g2	0.439233181
ATM	g2	0.451410211
AVK	g2	0.467135817
AVR	g2	0.535387629
BBF	g2	0.528945635
BBQ	g2	0.462679782
BBS	g2	0.519646299
BCC	g2	0.440431098
BCD	g2	0.435196874
BCK	g2	0.409663065
BCN	g2	0.417363247
BCP	g2	0.471171769
BCS	g2	0.43431654
BCV	g2	0.42776746
BDA	g2	0.503470638
BDD	g2	0.404799928
BDL	g2	0.45534895
BDN	g2	0.416188246
BDP	g2	0.480280532
BDQ	g2	0.411889601
BDR	g2	0.459930763
BEA	g2	0.448268856
BEC	g2	0.439774692
BEH	g2	0.45699148
BEI	g2	0.459029774
BEM	g2	0.472377197
BEN	g2	0.515434974
BES	g2	0.41808266
BET	g2	0.491180579
BFB	g2	0.520063387
BFC	g2	0.505693045
BFE	g2	0.413265554
BFG	g2	0.412848455
BFH	g2	0.538717265
BFP	g2	0.512577199
BHA	g2	0.475962005
BHH	g2	0.406991937
BHK	g2	0.423290657
BIA	g2	0.405925655
BII	g2	0.485037125
BIK	g2	0.459922015
BIN	g2	0.525745623
BKA	g2	0.463790908
BKD	g2	0.508908557
BKF	g2	0.446729019
BKS	g2	0.42646774
BKT	g2	0.52958778
BLF	g2	0.421190838
BLG	g2	0.459152105
BLI	g2	0.502999176
BLL	g2	0.424448599
BLN	g2	0.457516269
BNA	g2	0.44602894
BNH	g2	0.507561711
BNK	g2	0.446659232
BNL	g2	0.457659876
BNP	g2	0.52767864
BPF	g2	0.475426451
BPI	g2	0.507512555
BPK	g2	0.45577326
BPM	g2	0.501168195
BPP	g2	0.486409351
BPQ	g2	0.44866773
BPT	g2	0.462176796
BQB	g2	0.513714882
BQC	g2	0.488389172
BQE	g2	0.449674092
BQH	g2	0.467436441
BQQ	g2	0.476448382
BQS	g2	0.514599776
BRD	g2	0.421723552
BRG	g2	0.462459228
BRK	g2	0.427090151
BSA	g2	0.426879651
