"strain_name"	"YPETHANOL"	"type"
"AGR"	0.515983067	"ethanol_medium"
"AHG"	0.524584213	"ethanol_medium"
"AIC"	0.523335605	"ethanol_medium"
"AIE"	0.527419884	"ethanol_medium"
"AIM"	0.515974166	"ethanol_medium"
"ALE"	0.518437356	"ethanol_medium"
"ALK"	0.521094536	"ethanol_medium"
"ARE"	0.515623996	"ethanol_medium"
"ARK"	0.519114424	"ethanol_medium"
"ART"	0.519471695	"ethanol_medium"
"AST"	0.515351721	"ethanol_medium"
"ATB"	0.51663028	"ethanol_medium"
"ATH"	0.520189617	"ethanol_medium"
"ATM"	0.52205215	"ethanol_medium"
"BAF"	0.519361968	"ethanol_medium"
"BAL"	0.528020314	"ethanol_medium"
"BAT"	0.524714917	"ethanol_medium"
"BBD"	0.522431843	"ethanol_medium"
"BBI"	0.523310179	"ethanol_medium"
"BBL"	0.528744386	"ethanol_medium"
"BBS"	0.529775369	"ethanol_medium"
"BDF"	0.522087931	"ethanol_medium"
"BDL"	0.526486216	"ethanol_medium"
"BFT"	0.515516807	"ethanol_medium"
"BGC"	0.520572843	"ethanol_medium"
"BGD"	0.517994309	"ethanol_medium"
"BHV"	0.517071633	"ethanol_medium"
"BKE"	0.525765787	"ethanol_medium"
"BNE"	0.525037948	"ethanol_medium"
"BQQ"	0.525351163	"ethanol_medium"
"BTT"	0.529409201	"ethanol_medium"
"BTV"	0.515668868	"ethanol_medium"
"CAM"	0.52464929	"ethanol_medium"
"CBC"	0.516203162	"ethanol_medium"
"CBE"	0.522460794	"ethanol_medium"
"CCD"	0.518097537	"ethanol_medium"
"CCF"	0.524824601	"ethanol_medium"
"CCM"	0.524594088	"ethanol_medium"
"CFN"	0.523710613	"ethanol_medium"
"CIC"	0.517813729	"ethanol_medium"
"CID"	0.527818856	"ethanol_medium"
"CIH"	0.525651819	"ethanol_medium"
"CIM"	0.519736368	"ethanol_medium"
"CLN"	0.525338317	"ethanol_medium"
"CLS"	0.518952957	"ethanol_medium"
"CPI"	0.520897219	"ethanol_medium"
"SACE_YAB"	0.519455647	"ethanol_medium"
"SACE_YAK"	0.520555711	"ethanol_medium"
"SACE_YAP"	0.526009238	"ethanol_medium"
"SACE_YBK"	0.518643624	"ethanol_medium"
"SACE_YCE"	0.525093339	"ethanol_medium"
