"strain_name"	"YPACETATE"	"type"
"ARK"	0.400440819	"acetate_medium"
"ASN"	0.401197984	"acetate_medium"
"AST"	0.401511791	"acetate_medium"
"BCS"	0.408815086	"acetate_medium"
"BDT"	0.405990595	"acetate_medium"
"BFE"	0.404917478	"acetate_medium"
"BGI"	0.405590238	"acetate_medium"
"BMC"	0.401023909	"acetate_medium"
"BNC"	0.40026687	"acetate_medium"
"BQI"	0.406666242	"acetate_medium"
"BQP"	0.402854097	"acetate_medium"
"BTR"	0.410324327	"acetate_medium"
"BVM"	0.400772183	"acetate_medium"
"CAI"	0.409130623	"acetate_medium"
"CBH"	0.40124751	"acetate_medium"
"CDH"	0.400249247	"acetate_medium"
"CDI"	0.410597857	"acetate_medium"
"CDN"	0.411181384	"acetate_medium"
"CFT"	0.41092318	"acetate_medium"
"CGI"	0.403339827	"acetate_medium"
"CGK"	0.401561257	"acetate_medium"
"CHM"	0.405533892	"acetate_medium"
"CIM"	0.403055977	"acetate_medium"
"CKE"	0.40736471	"acetate_medium"
"CKG"	0.404223704	"acetate_medium"
"CKH"	0.40370789	"acetate_medium"
"CKK"	0.400800192	"acetate_medium"
"CKL"	0.411794208	"acetate_medium"
"CKN"	0.410353305	"acetate_medium"
"CLM"	0.403307572	"acetate_medium"
"CMB"	0.408900011	"acetate_medium"
"CMC"	0.407917315	"acetate_medium"
"CMK"	0.408719447	"acetate_medium"
"CRI"	0.408404657	"acetate_medium"
"CRK"	0.411761377	"acetate_medium"
"SACE_YAR"	0.41018272	"acetate_medium"
"SACE_YBG"	0.408430546	"acetate_medium"
"SACE_YBT"	0.402582885	"acetate_medium"
"SACE_YCH"	0.410234908	"acetate_medium"
"SACE_YCR"	0.403238406	"acetate_medium"
