"strain_name"	"YPGLYCEROL"	"type"
"ALE"	0.515924359	"glycerol_medium"
"AMR"	0.518669243	"glycerol_medium"
"ANQ"	0.526589713	"glycerol_medium"
"ANV"	0.526799937	"glycerol_medium"
"APF"	0.519652151	"glycerol_medium"
"APN"	0.518470579	"glycerol_medium"
"AQM"	0.524081366	"glycerol_medium"
"ARP"	0.521074566	"glycerol_medium"
"ASR"	0.516190454	"glycerol_medium"
"AST"	0.518316837	"glycerol_medium"
"ATD"	0.529428543	"glycerol_medium"
"BBC"	0.516314668	"glycerol_medium"
"BDC"	0.517247275	"glycerol_medium"
"BEE"	0.521325014	"glycerol_medium"
"BHC"	0.529278744	"glycerol_medium"
"BKS"	0.515789352	"glycerol_medium"
"BLV"	0.5238894	"glycerol_medium"
"BNI"	0.524906297	"glycerol_medium"
"BNQ"	0.51603461	"glycerol_medium"
"BQH"	0.528650667	"glycerol_medium"
"BQI"	0.522966466	"glycerol_medium"
"BRC"	0.523511114	"glycerol_medium"
"BRD"	0.516459701	"glycerol_medium"
"BRV"	0.516027881	"glycerol_medium"
"BSA"	0.515259401	"glycerol_medium"
"BTL"	0.519552421	"glycerol_medium"
"CBI"	0.517004307	"glycerol_medium"
"CCE"	0.523940455	"glycerol_medium"
"CCM"	0.524157319	"glycerol_medium"
"CET"	0.524968654	"glycerol_medium"
"CHG"	0.529700169	"glycerol_medium"
"CHI"	0.528542348	"glycerol_medium"
"CIM"	0.521478197	"glycerol_medium"
"CIT"	0.521392469	"glycerol_medium"
"CMF"	0.524861968	"glycerol_medium"
"CMS"	0.51857458	"glycerol_medium"
"CNE"	0.529624088	"glycerol_medium"
"CNF"	0.515938148	"glycerol_medium"
"CPE"	0.524505027	"glycerol_medium"
"CPG"	0.527182632	"glycerol_medium"
"CRK"	0.517552646	"glycerol_medium"
"SACE_YBT"	0.528580129	"glycerol_medium"
"SACE_YCK"	0.523557717	"glycerol_medium"
"SACE_YDM"	0.52862066	"glycerol_medium"
