"strain_name"	"YPGALACTOSE"	"type"
"CBD"	0.368775103	"galactose_low"
"CIP"	0.078207336	"galactose_low"
"CLG"	0.075465672	"galactose_low"
"CRK"	0.317929438	"galactose_low"
"AAD"	0.924793005	"galactose_medium"
"AAQ"	0.905523874	"galactose_medium"
"ACV"	0.902765731	"galactose_medium"
"ADR"	0.896896728	"galactose_medium"
"AFL"	0.906587127	"galactose_medium"
"AGB"	0.90951224	"galactose_medium"
"AIE"	0.908659519	"galactose_medium"
"AIL"	0.906083177	"galactose_medium"
"AIT"	0.907456833	"galactose_medium"
"AKH"	0.909977846	"galactose_medium"
"ALS"	0.905320339	"galactose_medium"
"AMN"	0.906604408	"galactose_medium"
"APV"	0.908684635	"galactose_medium"
"ARK"	0.928625341	"galactose_medium"
"BCE"	0.906261954	"galactose_medium"
"BCS"	0.899407283	"galactose_medium"
"BDM"	0.916540878	"galactose_medium"
"BDS"	0.915910928	"galactose_medium"
"BDT"	0.899569708	"galactose_medium"
"BEB"	0.90453883	"galactose_medium"
"BFQ"	0.894628918	"galactose_medium"
"BIC"	0.901992583	"galactose_medium"
"BIN"	0.922596031	"galactose_medium"
"BLK"	0.89092639	"galactose_medium"
"BLT"	0.897391032	"galactose_medium"
"BMA"	0.891003086	"galactose_medium"
"BNH"	0.891432877	"galactose_medium"
"BNK"	0.907113392	"galactose_medium"
"BNT"	0.914726789	"galactose_medium"
"BQE"	0.891130495	"galactose_medium"
"BQT"	0.910203188	"galactose_medium"
"BRE"	0.897331348	"galactose_medium"
"BRL"	0.926121993	"galactose_medium"
"BSL"	0.91693462	"galactose_medium"
"BTS"	0.927312991	"galactose_medium"
"CBF"	0.91947247	"galactose_medium"
"CBG"	0.900153786	"galactose_medium"
"CGQ"	0.890672471	"galactose_medium"
"CIH"	0.921499437	"galactose_medium"
"CIK"	0.921423002	"galactose_medium"
"CIV"	0.921228635	"galactose_medium"
"CMF"	0.912213341	"galactose_medium"
"CNP"	0.904727469	"galactose_medium"
"CPE"	0.894968294	"galactose_medium"
"SACE_YAV"	0.929801807	"galactose_medium"
"SACE_YBU"	0.898180519	"galactose_medium"
"SACE_YBX"	0.913567082	"galactose_medium"
