"strain_name"	"type"
"CCF"	"High_temp"
"CCG"	"High_temp"
"CCH"	"High_temp"
"CCI"	"High_temp"
"CCP"	"High_temp"
"CDA"	"High_temp"
"CDP"	"High_temp"
"CEL"	"High_temp"
"CFF"	"High_temp"
"CGG"	"High_temp"
"CGI"	"High_temp"
"CGK"	"High_temp"
"CGL"	"High_temp"
"CGN"	"High_temp"
"CGP"	"High_temp"
"CGQ"	"High_temp"
"CHM"	"High_temp"
"CHN"	"High_temp"
"CHQ"	"High_temp"
"CHT"	"High_temp"
"CIL"	"High_temp"
"CLG"	"High_temp"
"CLH"	"High_temp"
"CMH"	"High_temp"
"CMS"	"High_temp"
"CNB"	"High_temp"
"CNE"	"High_temp"
"CNF"	"High_temp"
"CNL"	"High_temp"
"CNN"	"High_temp"
"CNQ"	"High_temp"
"CPC"	"High_temp"
"CPG"	"High_temp"
"CQC"	"High_temp"
"CQE"	"High_temp"
"CQF"	"High_temp"
"CQG"	"High_temp"
"CQH"	"High_temp"
"CQK"	"High_temp"
"CQL"	"High_temp"
"CQM"	"High_temp"
"CQN"	"High_temp"
"CQP"	"High_temp"
"CRG"	"High_temp"
"SACE_GAP"	"High_temp"
"SACE_GAS"	"High_temp"
"SACE_GAT"	"High_temp"
"SACE_GAV"	"High_temp"
"SACE_MAB"	"High_temp"
"ABV"	"High_ethonal"
"ACI"	"High_ethonal"
"ACQ"	"High_ethonal"
"ADD"	"High_ethonal"
"ADF"	"High_ethonal"
"ADH"	"High_ethonal"
"ADI"	"High_ethonal"
"ADN"	"High_ethonal"
"AFQ"	"High_ethonal"
"AGS"	"High_ethonal"
"AKG"	"High_ethonal"
"AKT"	"High_ethonal"
"ALD"	"High_ethonal"
"ALI"	"High_ethonal"
"ALN"	"High_ethonal"
"ALP"	"High_ethonal"
"ALQ"	"High_ethonal"
"ALR"	"High_ethonal"
"ALV"	"High_ethonal"
"ANG"	"High_ethonal"
"APA"	"High_ethonal"
"APD"	"High_ethonal"
"AQN"	"High_ethonal"
"AQR"	"High_ethonal"
"ARH"	"High_ethonal"
"ARM"	"High_ethonal"
"ARS"	"High_ethonal"
"ARV"	"High_ethonal"
"ASV"	"High_ethonal"
"ATC"	"High_ethonal"
"ATD"	"High_ethonal"
"AVI"	"High_ethonal"
"AVQ"	"High_ethonal"
"AVR"	"High_ethonal"
"BAH"	"High_ethonal"
"BAN"	"High_ethonal"
"BBA"	"High_ethonal"
"BBE"	"High_ethonal"
"BBF"	"High_ethonal"
"BBG"	"High_ethonal"
"BBH"	"High_ethonal"
"BCB"	"High_ethonal"
"BCC"	"High_ethonal"
"BCD"	"High_ethonal"
"BCE"	"High_ethonal"
"BCF"	"High_ethonal"
"BCG"	"High_ethonal"
"BCH"	"High_ethonal"
"BCI"	"High_ethonal"
"BCK"	"High_ethonal"
"BCL"	"High_ethonal"
"BCM"	"High_ethonal"
"BCN"	"High_ethonal"
"BDP"	"High_ethonal"
"BDQ"	"High_ethonal"
"BDR"	"High_ethonal"
"BDS"	"High_ethonal"
"BDT"	"High_ethonal"
"BDV"	"High_ethonal"
"BEA"	"High_ethonal"
"BEB"	"High_ethonal"
"BEC"	"High_ethonal"
"BED"	"High_ethonal"
"BEE"	"High_ethonal"
"BFA"	"High_ethonal"
"BFH"	"High_ethonal"
"BFL"	"High_ethonal"
"BFS"	"High_ethonal"
"BGA"	"High_ethonal"
"BGE"	"High_ethonal"
"BGM"	"High_ethonal"
"BGP"	"High_ethonal"
"BHC"	"High_ethonal"
"BKF"	"High_ethonal"
"BKQ"	"High_ethonal"
"BLH"	"High_ethonal"
"BMB"	"High_ethonal"
"BMF"	"High_ethonal"
"BMH"	"High_ethonal"
"BMK"	"High_ethonal"
"BML"	"High_ethonal"
"BMQ"	"High_ethonal"
"BMR"	"High_ethonal"
"BMV"	"High_ethonal"
"BNB"	"High_ethonal"
"BND"	"High_ethonal"
"BPA"	"High_ethonal"
"BPF"	"High_ethonal"
"BPI"	"High_ethonal"
"BPL"	"High_ethonal"
"BPN"	"High_ethonal"
"BQS"	"High_ethonal"
"BRA"	"High_ethonal"
"CBK"	"High_ethonal"
"CCQ"	"High_ethonal"
"CCV"	"High_ethonal"
"CDC"	"High_ethonal"
"CDD"	"High_ethonal"
"CDG"	"High_ethonal"
"CDH"	"High_ethonal"
"CDL"	"High_ethonal"
"CEB"	"High_ethonal"
"CFD"	"High_ethonal"
"CHK"	"High_ethonal"
"CIF"	"High_ethonal"
"CII"	"High_ethonal"
"CIK"	"High_ethonal"
"CKA"	"High_ethonal"
"CLK"	"High_ethonal"
"CLP"	"High_ethonal"
"CLQ"	"High_ethonal"
"CLT"	"High_ethonal"
"CLV"	"High_ethonal"
"CMB"	"High_ethonal"
"CMD"	"High_ethonal"
"CME"	"High_ethonal"
"CMM"	"High_ethonal"
"CPD"	"High_ethonal"
